,Essay_id,Original sentence,Corrected sentence,Error token indices,Correction token indices,Error_label,Education_level,L1,Error token pair,Split,#tags (errors),#token/source error,#token/target correct,Uni Tag 1,Uni tag 2,Uni tag 3,Error_label 1,Error_label 2,Error_label 3,Error_label 4
483,C5CT1,"Lyckligtvis kan du spela piano , och där du kan lära känna nya vänner .","Lyckligtvis kan du spela piano , och där kan du lära känna nya vänner .",44-46,41-43,S-FinV,Nybörjare,Spanska,kan--kan,train,1,1,1,S,,,S-FinV,,,
485,C5CT1,Jag rekommenderar dig att jämföra inte ditt nya med ditt gamla hem .,Jag rekommenderar dig att inte jämföra ditt nya med ditt gamla hem .,34-37,26-29,S-Adv,Nybörjare,Spanska,inte--inte,train,1,1,1,S,,,S-Adv,,,
499,G54GT3,"Jag tycker om att åka till Västerås , eftersom det ser ut fint och lugnt .","Jag tycker om att åka till Västerås , eftersom det ser fint och lugnt ut .",55-56,70-71,S-Adv,Nybörjare,Somaliska,ut--ut,train,1,1,1,S,,,S-Adv,,,
572,C4CT2,Tyvärr någonting har hänt som gör att jag inte kan gå på kursen och jag önskar att få pengarna tillbaka .,Tyvärr har någonting hänt som gör att jag inte kan gå på kursen och jag önskar att få pengarna tillbaka .,17-19,7-9,S-FinV,Nybörjare,Engelska,har--har,train,1,1,1,S,,,S-FinV,,,
575,C4CT2,"Hon har väldigt ont i magen och huvudet , och måste jag hjälpa henne med att gå på toa och att laga mat .","Hon har väldigt ont i magen och huvudet , och jag måste hjälpa henne med att gå på toa och att laga mat .",46-50,50-54,S-FinV,Nybörjare,Engelska,måste--måste,train,1,1,1,S,,,S-FinV,,,
588,C4CT2,Jag är ledsen att jag kan inte gå på kursen och jag hoppas att jag kan göra det nästa termin .,Jag är ledsen att jag inte kan gå på kursen och jag hoppas att jag kan göra det nästa termin .,26-29,22-25,S-Adv,Nybörjare,Engelska,inte--inte,train,1,1,1,S,,,S-Adv,,,
621,C12CT2,"Förra veckan anmälde jag mig till en trafikkurs för att lära mig att få ett körkort , men tyvärr kan inte jag gå kursen nu för att jag måste resa till A-land på en månad eftersom min gammal faster är sjuk och hon är ensam .","Förra veckan anmälde jag mig till en trafikkurs för att lära mig att få ett körkort , men tyvärr kan jag inte gå kursen nu för att jag måste resa till A-land på en månad eftersom min gammal faster är sjuk och hon är ensam .",101-104,105-108,S-Adv,Nybörjare,Arabiska,inte--inte,train,1,1,1,S,,,S-Adv,,,
622,C12CT2,"Förra veckan anmälde jag mig till en trafikkurs för att lära mig att få ett körkort , men tyvärr nu kan jag inte gå kursen för att jag måste resa till A-land på en månad eftersom min gammal faster är sjuk och hon är ensam .","Förra veckan anmälde jag mig till en trafikkurs för att lära mig att få ett körkort , men tyvärr kan jag inte gå kursen nu för att jag måste resa till A-land på en månad eftersom min gammal faster är sjuk och hon är ensam .",97-98,120-121,S-Adv,Nybörjare,Arabiska,nu--nu,train,1,1,1,S,,,S-Adv,,,
637,C6CT1,Jag också saknar dig men jag är säker på att ditt liv kommer att bli bättre med ditt nya jobb .,Jag saknar dig också men jag är säker på att ditt liv kommer att bli bättre med ditt nya jobb .,4-8,15-19,S-Adv,Nybörjare,Arabiska,också--också,train,1,1,1,S,,,S-Adv,,,
677,C6CT1,Tänk att det är roligt att dina grannar är också dina vänner !,Tänk att det är roligt att dina grannar också är dina vänner !,43-47,40-44,S-Adv,Nybörjare,Arabiska,också--också,train,1,1,1,S,,,S-Adv,,,
691,C6CT2,"Förra året anmälde jag mig till en simkurs , men efter en kort tid jag blev förbannad för att kursen ska börja innan mitt barn har en plats på dagis .","Förra året anmälde jag mig till en simkurs , men efter en kort tid blev jag förbannad för att kursen ska börja innan mitt barn har en plats på dagis .",71-74,67-70,S-FinV,Nybörjare,Arabiska,blev--blev,train,1,1,1,S,,,S-FinV,,,
773,C9CT2,För det första måste jag stanna där lite längre så kan jag inte börja på den här kursen .,För det första måste jag stanna där lite längre så jag kan inte börja på den här kursen .,52-54,55-57,S-FinV,Nybörjare,"Engelska, Urdu",kan--kan,train,1,1,1,S,,,S-FinV,,,
776,C9CT2,För det andra har jag lite pengar och behöver jag mer pengar för att betala för biljetterna för resan .,För det andra har jag lite pengar och jag behöver mer pengar för att betala för biljetterna för resan .,38-44,42-48,S-FinV,Nybörjare,"Engelska, Urdu",behöver--behöver,train,1,1,1,S,,,S-FinV,,,
779,C9CT2,Så önskar jag att du betalar tillbaka min kursavgift så snart som möjligt .,Så jag önskar att du betalar tillbaka min kursavgift så snart som möjligt .,5-10,7-12,S-FinV,Nybörjare,"Engelska, Urdu",önskar--önskar,train,1,1,1,S,,,S-FinV,,,
784,C9CT2,Så jag önskar att du betalar tillbaka min kursavgift så möjligt som snart .,Så jag önskar att du betalar tillbaka min kursavgift så snart som möjligt .,56--62|68-72,56-60|66-72,S-WO,Nybörjare,"Engelska, Urdu",snart--snart|möjligt--möjligt,train,1,1,1,S,,,S-WO,,,
817,C8CT1,Du kan också gå till en samlingspunkt eftersom de flesta människor när de flyttat till en ny stad går dit för att träffa nya människor .,Du kan också gå till en samlingspunkt eftersom de flesta människor går dit för att träffa nya människor när de flyttat till en ny stad .,69-98,104-133,S-Adv,Nybörjare,Arabiska,när de flyttat till en ny stad--när de flyttat till en ny stad,train,1,7,7,S,,,S-Adv,,,
862,G60GT4,Jag vill studera svenska för jag vill kunna prata med min kompis bra och jag vill söka jobb .,Jag vill studera svenska för jag vill kunna prata bra med min kompis och jag vill söka jobb .,65-67,50-52,S-Adv,Nybörjare,Arabiska,bra--bra,train,1,1,1,S,,,S-Adv,,,
1021,A28AT3,"Nu bor vi mitt i stan och kan gå överallt , men i A-land vi bodde i en liten by och behövde ta bilen för att åka till stan eller köpa mat .","Nu bor vi mitt i stan och kan gå överallt , men i A-land bodde vi i en liten by och behövde ta bilen för att åka till stan eller köpa mat .",60-64,57-61,S-FinV,Nybörjare,Engelska,bodde--bodde,train,1,1,1,S,,,S-FinV,,,
1065,A24AT3,"Jag bor i Tuna , det ser ut normalt tycker jag .","Jag bor i Tuna , det ser normalt ut tycker jag .",25-26,33-34,S-Adv,Nybörjare,Spanska,ut--ut,train,1,1,1,S,,,S-Adv,,,
1109,A23AT3,Därför jag vill inte flytta .,Därför vill jag inte flytta .,11-14,7-10,S-FinV,Nybörjare,Kurdiska,vill--vill,train,1,1,1,S,,,S-FinV,,,
1179,A25AT3,Pga såna grejer jag funderar på att köpa en egen lägenhet .,Pga såna grejer funderar jag på att köpa en egen lägenhet .,20-27,16-23,S-FinV,Nybörjare,Turkiska,funderar--funderar,train,1,1,1,S,,,S-FinV,,,
1195,A17AT4,"Min lägenhet ser ut väldigt bra , samtidigt som det är ett ganska gammalt hus .","Min lägenhet ser väldigt bra ut , samtidigt som det är ett ganska gammalt hus .",17-18,29-30,S-Adv,Nybörjare,Mandarin,ut--ut,train,1,1,1,S,,,S-Adv,,,
1266,A15AT4,"Vi flyttade faktiskt till Segerstad för bara 2 veckor sen , så är lägenheten inte komplett .","Vi flyttade faktiskt till Segerstad för bara 2 veckor sen , så lägenheten är inte komplett .",63-64,74-75,S-FinV,Nybörjare,"Engelska, Kantonesiska, Malajiska, Mandarin",är--är,train,1,1,1,S,,,S-FinV,,,
1282,A13AT4,Ibland mormor kommer för att stanna med oss flera dagar .,Ibland kommer mormor för att stanna med oss flera dagar .,14-19,7-12,S-FinV,Nybörjare,Spanska,kommer--kommer,train,1,1,1,S,,,S-FinV,,,
1288,A13AT4,"Innan jag kom till Sverige jag bodde i C-land och det är jättestora skillnader , ingenting är detsamma .","Innan jag kom till Sverige bodde jag i C-land och det är jättestora skillnader , ingenting är detsamma .",31-35,27-31,S-FinV,Nybörjare,Spanska,bodde--bodde,train,1,1,1,S,,,S-FinV,,,
1346,A8AT4,"Jag tycker om mycket mitt land och saknar mina föräldrar , men jag lärde känna min flickvän och flyttade till Västanå .","Jag tycker mycket om mitt land och saknar mina föräldrar , men jag lärde känna min flickvän och flyttade till Västanå .",11-12,18-19,S-Adv,Nybörjare,Spanska,om--om,train,1,1,1,S,,,S-Adv,,,
1370,C18CT2,"Jag inte jobbar på helgen , men skolan är stängd på lördag och söndag .","Jag jobbar inte på helgen , men skolan är stängd på lördag och söndag .",4-7,11-14,S-Adv,Nybörjare,Persiska,inte--inte,train,1,1,1,S,,,S-Adv,,,
1401,C18CT1,När man flyttar till en ny stad man är ensam de första dagarna .,När man flyttar till en ny stad är man ensam de första dagarna .,36-37,32-33,S-FinV,Nybörjare,Persiska,är--är,train,1,1,1,S,,,S-FinV,,,
1469,C16CT1,Jag tycker att du kan kanske gå på en danskurs och träffa många nya människor som gillar att dansa liksom du .,Jag tycker att du kanske kan gå på en danskurs och träffa många nya människor som gillar att dansa liksom du .,22-27,18-23,S-Adv,Nybörjare,Turkiska,kanske--kanske,train,1,1,1,S,,,S-Adv,,,
1480,C16CT1,Jag tror att det är kanske en chans att träffa dem och ha roligt så att ni kan ta det lite lugnt efter jobbet .,Jag tror att det kanske är en chans att träffa dem och ha roligt så att ni kan ta det lite lugnt efter jobbet .,20-25,17-22,S-Adv,Nybörjare,Turkiska,kanske--kanske,train,1,1,1,S,,,S-Adv,,,
1494,C13CT1,Jag är ledsen att du kan inte hitta nya vänner och jag hoppas att mina tips ska hjälpa dig att hitta nya kompisar .,Jag är ledsen att du inte kan hitta nya vänner och jag hoppas att mina tips ska hjälpa dig att hitta nya kompisar .,25-28,21-24,S-Adv,Nybörjare,"Engelska, Luganda, Swahili",inte--inte,train,1,1,1,S,,,S-Adv,,,
1591,C9CT1,Du kan lära känna mer dina grannar om du går och promenerar med dem på fritiden .,Du kan lära känna dina grannar mer om du går och promenerar med dem på fritiden .,18-20,31-33,S-Adv,Nybörjare,"Engelska, Urdu",mer--mer,train,1,1,1,S,,,S-Adv,,,
1602,C2CT1,"Om du är intresserad av att träffa nya vänner , du kan prata med dem , eller bjuda hem dem till dig .","Om du är intresserad av att träffa nya vänner , kan du prata med dem , eller bjuda hem dem till dig .",55-57,48-50,S-FinV,Nybörjare,Arabiska,kan--kan,train,1,1,1,S,,,S-FinV,,,
1627,C2CT1,"Du kan göra många saker , du behöver känna inte dig ensam eftersom du kan finna många vänner .","Du kan göra många saker , du behöver inte känna dig ensam eftersom du kan finna många vänner .",43-46,37-40,S-Adv,Nybörjare,Arabiska,inte--inte,train,1,1,1,S,,,S-Adv,,,
1675,G61GT4,Nu min lärare heter Karin .,Nu heter min lärare Karin .,14-18,3-7,S-FinV,Nybörjare,"Kurdiska, Turkiska",heter--heter,train,1,1,1,S,,,S-FinV,,,
1703,G56GT3,Därför jag tycker om havet .,Därför tycker jag om havet .,11-16,7-12,S-FinV,Nybörjare,Arabiska,tycker--tycker,train,1,1,1,S,,,S-FinV,,,
1713,G56GT3,Om man vill äta fisk man kan gå till havet och hitta fisk i det .,Om man vill äta fisk kan man gå till havet och hitta fisk i det .,25-27,21-23,S-FinV,Nybörjare,Arabiska,kan--kan,train,1,1,1,S,,,S-FinV,,,
1718,G56GT3,Jag tycker om mycket havet för att jag har bott vid havet i min stad och levt min barndom där .,Jag tycker mycket om havet för att jag har bott vid havet i min stad och levt min barndom där .,11-12,18-19,S-Adv,Nybörjare,Arabiska,om--om,train,1,1,1,S,,,S-Adv,,,
1731,G56GT3,När jag blir arg jag vill gå till havet och titta på det så jag blir lugn .,När jag blir arg vill jag gå till havet och titta på det så jag blir lugn .,21-24,17-20,S-FinV,Nybörjare,Arabiska,vill--vill,train,1,1,1,S,,,S-FinV,,,
1804,G51GT3,"B-stad ligger i mitten av B-land , och kommer jag därifrån .","B-stad ligger i mitten av B-land , och jag kommer därifrån .",39-44,43-48,S-FinV,Nybörjare,Engelska,kommer--kommer,train,1,1,1,S,,,S-FinV,,,
1867,G50GT3,När man åker dit man ser natur som många träd och stränder .,När man åker dit ser man natur som många träd och stränder .,21-23,17-19,S-FinV,Nybörjare,Kurdiska,ser--ser,train,1,1,1,S,,,S-FinV,,,
1878,G50GT3,Där alla människor är snälla och hjälpsamma .,Där är alla människor snälla och hjälpsamma .,19-20,4-5,S-FinV,Nybörjare,Kurdiska,är--är,train,1,1,1,S,,,S-FinV,,,
1889,A6AT2,Jag tycker om att bo tillsamans med min sambo men ibland det är lite svårt .,Jag tycker om att bo tillsamans med min sambo men ibland är det lite svårt .,61-62,57-58,S-FinV,Nybörjare,Ungerska,är--är,train,1,1,1,S,,,S-FinV,,,
1893,A6AT2,Där jag bodde i A-stad med min mamma och hennes hundar i hennes hus .,Där bodde jag i A-stad med min mamma och hennes hundar i hennes hus .,8-12,4-8,S-FinV,Nybörjare,Ungerska,bodde--bodde,train,1,1,1,S,,,S-FinV,,,
1916,A7AT4,Trots allt jag är jätteglad att bo där .,Trots allt är jag jätteglad att bo där .,15-16,11-12,S-FinV,Nybörjare,Amhariska,är--är,train,1,1,1,S,,,S-FinV,,,
1921,A7AT4,Jag har en sambo men vi inte bor tillsammans .,Jag har en sambo men vi bor inte tillsammans .,24-27,28-31,S-Adv,Nybörjare,Amhariska,inte--inte,train,1,1,1,S,,,S-Adv,,,
1961,A4AT2,Från mitt fönster jag kan se Strandvägen-gen busshållplats .,Från mitt fönster kan jag se Strandvägen-gen busshållplats .,22-24,18-20,S-FinV,Nybörjare,Engelska,kan--kan,train,1,1,1,S,,,S-FinV,,,
1986,A4AT2,"I framtiden jag vill bo i ett hus med gård , så jag kan få en hund .","I framtiden vill jag bo i ett hus med gård , så jag kan få en hund .",16-19,12-15,S-FinV,Nybörjare,Engelska,vill--vill,train,1,1,1,S,,,S-FinV,,,
1988,A4AT2,"Jag måste spara mycket pengar , bostäder i Norrby är dyra också !","Jag måste spara mycket pengar , bostäder i Norrby är också dyra !",58-62,53-57,S-Adv,Nybörjare,Engelska,också--också,train,1,1,1,S,,,S-Adv,,,
2054,C111CT16,Nästa dag hon kom till mig och berättade samma sak för mig och jag blev väldigt glad och vi träffades varje dag .,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och vi träffades varje dag .,14-16,10-12,S-FinV,Nybörjare,Arabiska,kom--kom,train,1,1,1,S,,,S-FinV,,,
2055,C111CT16,Nästa dag kom hon till mig och berättade för mig samma sak och jag blev väldigt glad och vi träffades varje dag .,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och vi träffades varje dag .,41-47,51-57,S-Adv,Nybörjare,Arabiska,för mig--för mig,train,1,2,2,S,,,S-Adv,,,
2057,C111CT16,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och varje dag träffades vi .,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och vi träffades varje dag .,109-110,89-90,S-WO,Nybörjare,Arabiska,vi--vi,train,1,1,1,S,,,S-WO,,,
2059,C111CT16,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och varje dag vi träffades .,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och vi träffades varje dag .,89-97,102-110,S-WO,Nybörjare,Arabiska,varje dag--varje dag,train,1,2,2,S,,,S-WO,,,
2074,G63GT4,Jag träffar mina kompisar och dricker kaffe och pratar svenska vi tillsammans .,Jag träffar mina kompisar och dricker kaffe och vi pratar svenska tillsammans .,63-64,48-49,S-WO,Nybörjare,Kurdiska,vi--vi,train,1,1,1,S,,,S-WO,,,
2097,C106CT16,Så vår kärlek började .,Så började vår kärlek .,14-20,3-9,S-FinV,Nybörjare,Turkiska,började--började,train,1,1,1,S,,,S-FinV,,,
2108,C102CT16,Min man var min första kärlek och till slutet av mitt liv jag ska älska min man .,Min man var min första kärlek och till slutet av mitt liv ska jag älska min man .,62-64,58-60,S-FinV,Nybörjare,Dari,ska--ska,train,1,1,1,S,,,S-FinV,,,
2137,C99CT16,"Jag kan inte beskriva mina känslor men jag älskade mycket honom , min första kärlek när jag var 24 år gammal .","Jag kan inte beskriva mina känslor men jag älskade honom mycket , min första kärlek när jag var 24 år gammal .",51-56,57-62,S-Adv,Nybörjare,Kurdiska,mycket--mycket,train,1,1,1,S,,,S-Adv,,,
2150,C98CT16,När blev jag kär var jag 18 år gammal Jag och min kärlek gick i en klass i skolan .,När jag blev kär var jag 18 år gammal Jag och min kärlek gick i en klass i skolan .,4-7,8-11,S-FinV,Nybörjare,Dari,blev--blev,train,1,1,1,S,,,S-FinV,,,
2152,C98CT16,När jag blev kär jag var 18 år gammal Jag och min kärlek gick i en klass i skolan .,När jag blev kär var jag 18 år gammal Jag och min kärlek gick i en klass i skolan .,21-23,17-19,S-FinV,Nybörjare,Dari,var--var,train,1,1,1,S,,,S-FinV,,,
2157,C98CT16,En dag vi träffade varandra i skolan .,En dag träffade vi varandra i skolan .,10-17,7-14,S-FinV,Nybörjare,Dari,träffade--träffade,train,1,1,1,S,,,S-FinV,,,
2168,C98CT16,"Sedan kände jag mig mycket glad och lycklig , jag faktiskt kände kärlek .","Sedan kände jag mig mycket glad och lycklig , jag kände faktiskt kärlek .",50-57,56-63,S-Adv,Nybörjare,Dari,faktiskt--faktiskt,train,1,1,1,S,,,S-Adv,,,
2169,C98CT16,I alla fall jag väntade på honom i fyra år .,I alla fall väntade jag på honom i fyra år .,16-22,12-18,S-FinV,Nybörjare,Dari,väntade--väntade,train,1,1,1,S,,,S-FinV,,,
2180,C98CT16,Nu är jag gravid och vi även väntar barn .,Nu är jag gravid och vi väntar även barn .,24-27,31-34,S-Adv,Nybörjare,Dari,även--även,train,1,1,1,S,,,S-Adv,,,
2181,C98CT16,Ibland man brukar säga att kärleken har ingen gräns och det är sant .,Ibland brukar man säga att kärleken har ingen gräns och det är sant .,11-16,7-12,S-FinV,Nybörjare,Dari,brukar--brukar,train,1,1,1,S,,,S-FinV,,,
2215,C94CT16,Jag tittade på honom hela festen och han också tittade på mig .,Jag tittade på honom hela festen och han tittade på mig också .,41-45,56-60,S-Adv,Nybörjare,Arabiska,också--också,train,1,1,1,S,,,S-Adv,,,
2226,C94CT16,Han reste efter festen direkt men vi kommunicerade hela tiden .,Han reste direkt efter festen men vi kommunicerade hela tiden .,23-28,10-15,S-Adv,Nybörjare,Arabiska,direkt--direkt,train,1,1,1,S,,,S-Adv,,,
2235,C94CT16,Jag hade så gärna velat skriva en vacker sluthistoria men jag tror att sällan inträffar kärlek .,Jag hade så gärna velat skriva en vacker sluthistoria men jag tror att kärlek sällan inträffar .,88-93,71-76,S-WO,Nybörjare,Arabiska,kärlek--kärlek,train,1,1,1,S,,,S-WO,,,
2264,C85CT16,Vi var klasskamrater till och med grundskolan och sedan min vän reste till ett avlägset land .,Vi var klasskamrater till och med grundskolan och sedan reste min vän till ett avlägset land .,64-68,56-60,S-FinV,Nybörjare,Kurdiska,reste--reste,train,1,1,1,S,,,S-FinV,,,
2267,C85CT16,Varje dag pratade vi efter det och började jag bli väldigt glad .,Varje dag pratade vi efter det och jag började bli väldigt glad .,35-41,39-45,S-FinV,Nybörjare,Kurdiska,började--började,train,1,1,1,S,,,S-FinV,,,
2275,C60CT16,"Där i B-land vi kan inte prata med tjejer framför alla andra , men även om det var svårt kunde jag prata med henne .","Där i B-land kan vi inte prata med tjejer framför alla andra , men även om det var svårt kunde jag prata med henne .",16-18,13-15,S-FinV,Nybörjare,Arabiska,kan--kan,train,1,1,1,S,,,S-FinV,,,
2287,C60CT16,Jag var fascinerad av henne och när jag kollar på henne börjar mitt hjärta slå så hårt tills jag känner att jag kan inte andas och jag blir röd i ansiktet .,Jag var fascinerad av henne och när jag kollar på henne börjar mitt hjärta slå så hårt tills jag känner att jag inte kan andas och jag blir röd i ansiktet .,68-73,56-61,S-FinV,Nybörjare,Arabiska,börjar--börjar,train,1,1,1,S,,,S-FinV,,,
2288,C60CT16,Jag var fascinerad av henne och när jag kollar på henne mitt hjärta börjar slå så hårt tills jag känner att jag inte kan andas och jag blir röd i ansiktet .,Jag var fascinerad av henne och när jag kollar på henne börjar mitt hjärta slå så hårt tills jag känner att jag inte kan andas och jag blir röd i ansiktet .,116-119,112-115,S-Adv,Nybörjare,Arabiska,inte--inte,train,1,1,1,S,,,S-Adv,,,
2345,C105CT16,10 månader därefter vi bestämde oss för att sluta träffa varandra .,10 månader därefter bestämde vi oss för att sluta träffa varandra .,23-30,20-27,S-FinV,Nybörjare,Spanska,bestämde--bestämde,train,1,1,1,S,,,S-FinV,,,
2356,C103CT16,"Han sa : Om du har tid , vi kan dricka kaffe ?","Han sa : Om du har tid , kan vi dricka kaffe ?",28-30,25-27,S-FinV,Nybörjare,Thailändska,kan--kan,train,1,1,1,S,,,S-FinV,,,
2394,G35GT1,"Om vi har mycket fritid åker vi till in C-stad eller till B-stad , D-stad eller D-stad , som ligger nära A-stad .","Om vi har mycket fritid åker vi in till C-stad eller till B-stad , D-stad eller D-stad , som ligger nära A-stad .",37-38,32-33,S-Adv,Nybörjare,Ryska,in--in,train,1,1,1,S,,,S-Adv,,,
2397,G35GT1,"Jag saknar mina kompisar och staden när jag är i Sverige , men jag hoppas att Haga , där jag bor idag , blir också viktig för mig snabbt .","Jag saknar mina kompisar och staden när jag är i Sverige , men jag hoppas att Haga , där jag bor idag , också blir viktig för mig snabbt .",109-113,104-108,S-Adv,Nybörjare,Ryska,också--också,train,1,1,1,S,,,S-Adv,,,
2414,G33GT1,Vi har två båtar som åker vi i för att fiska och simma .,Vi har två båtar som vi åker i för att fiska och simma .,21-24,24-27,S-FinV,Nybörjare,"Kinesiska, Mandarin",åker--åker,train,1,1,1,S,,,S-FinV,,,
2442,G33GT1,På dagtid ibland läser jag en bok eller går i skogen i närheten .,På dagtid läser jag en bok ibland eller går i skogen i närheten .,10-15,27-32,S-Adv,Nybörjare,"Kinesiska, Mandarin",ibland--ibland,train,1,1,1,S,,,S-Adv,,,
2445,G33GT1,På hösten vi åker dit ibland för att plocka svamp och blåbär .,På hösten åker vi dit ibland för att plocka svamp och blåbär .,13-16,10-13,S-FinV,Nybörjare,"Kinesiska, Mandarin",åker--åker,train,1,1,1,S,,,S-FinV,,,
2446,G33GT1,På hösten ibland åker vi dit för att plocka svamp och blåbär .,På hösten åker vi dit ibland för att plocka svamp och blåbär .,10-15,22-27,S-Adv,Nybörjare,"Kinesiska, Mandarin",ibland--ibland,train,1,1,1,S,,,S-Adv,,,
2479,G6GT1,Men när jag började på intron kände jag att jag var inte ensam och att man kan göra allt som man vill .,Men när jag började på intron kände jag att jag inte var ensam och att man kan göra allt som man vill .,52-55,48-51,S-Adv,Nybörjare,Kurdiska,inte--inte,train,1,1,1,S,,,S-Adv,,,
2486,G6GT1,Introkursen var viktig för dem som var nybörjare och min första text handlade om hur ska jag lära mig svenska och fortsätta utbilda mig i Sverige .,Introkursen var viktig för dem som var nybörjare och min första text handlade om hur jag ska lära mig svenska och fortsätta utbilda mig i Sverige .,85-87,89-91,S-FinV,Nybörjare,Kurdiska,ska--ska,train,1,1,1,S,,,S-FinV,,,
2545,C113CT17,När du flyger över Sverige du kan se allt bra och det är mycket vackert .,När du flyger över Sverige kan du se allt bra och det är mycket vackert .,30-32,27-29,S-FinV,Nybörjare,"Engelska, Nederländska",kan--kan,train,1,1,1,S,,,S-FinV,,,
2552,C113CT17,"Men tycker jag nu att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .","Men nu tycker jag att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .",15-16,4-5,S-WO,Nybörjare,"Engelska, Nederländska",nu--nu,train,1,1,1,S,,,S-WO,,,
2554,C113CT17,"Men nu jag tycker att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .","Men nu tycker jag att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .",7-9,14-16,S-WO,Nybörjare,"Engelska, Nederländska",jag--jag,train,1,1,1,S,,,S-WO,,,
2555,C113CT17,"Men nu tycker jag att det är inte lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .","Men nu tycker jag att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .",29-32,26-29,S-Adv,Nybörjare,"Engelska, Nederländska",inte--inte,train,1,1,1,S,,,S-Adv,,,
2561,C113CT17,"Men nu tycker jag att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker är inte bra om du flyttar till Sverige .","Men nu tycker jag att det inte är lätt och bra organiserat i Sverige , för jag har lärt mig att många saker inte är bra om du flyttar till Sverige .",103-106,108-111,S-Adv,Nybörjare,"Engelska, Nederländska",inte--inte,train,1,1,1,S,,,S-Adv,,,
